"URI","constraint","value"
"number40LiterGreyWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","3"
"number120LiterGreyWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","1"
"number240LiterGreyWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","1"
"greyWasteContainerLockUIShape","",""
"number40LiterGreenWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","3"
"number120LiterGreenWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","2"
"greenWasteSelfCompostUIShape","",""
"greenWasteContainerStopCollectingInfoUIShape","",""
"greenWasteContainerLockUIShape","",""
"number40LiterPaperWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","3"
"number240LiterPaperWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","1"
"number1100LiterPaperWasteContainerUIShape","sh:minInclusive","1"
"","sh:maxInclusive","1"