"state","state_shapes","ui_shapes"
"numberOf40LiterGreyWasteContainers","number40LiterGreyWasteContainerShape","number40LiterGreyWasteContainerUIShape"
"numberOf120LiterGreyWasteContainers","number120LiterGreyWasteContainerShape","number120LiterGreyWasteContainerUIShape"
"numberOf240LiterGreyWasteContainers","number240LiterGreyWasteContainerShape","number240LiterGreyWasteContainerUIShape"
"greyWasteContainerLockInfo","greyWasteContainerLockShape","greyWasteContainerLockUIShape"
"numberOf40LiterGreenWasteContainers","number40LiterGreenWasteContainerShape","number40LiterGreenWasteContainerUIShape"
"numberOf120LiterGreenWasteContainers","number120LiterGreenWasteContainerShape","number120LiterGreenWasteContainerUIShape"
"greenWasteContainerOwnCompostInfo","greenWasteSelfCompostShape","greenWasteSelfCompostUIShape"
"greenWasteContainerStopCollectingInfo","greenWasteContainerStopCollectingInfoShape","greenWasteContainerStopCollectingInfoUIShape"
"greenWasteContainerLockInfo","greenWasteContainerLockShape","greenWasteContainerLockUIShape"
"numberOf40LiterPaperWasteContainers","number40LiterPaperWasteContainerShape","number40LiterPaperWasteContainerUIShape"
"numberOf240LiterPaperWasteContainers","number240LiterPaperWasteContainerShape","number240LiterPaperWasteContainerUIShape"
"numberOf1100LiterPaperWasteContainers","number1100LiterPaperWasteContainerShape","number1100LiterPaperWasteContainerUIShape"